,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
139,0.60369045,1.155900566,-0.053616065,2.007173768,-0.185348273,0.498072709,0.489677725,-1.034102561,-0.731340936,-0.02040039,-1.412305134,-0.944788197,NA
140,0.795608968,0.879112239,0.471024626,2.044041688,-0.253428386,0.394256663,0.542588609,-0.821851872,-0.884090921,-0.26994407,-1.6240668,-1.029482233,NA
141,1.211832837,0.836412843,0.323095014,2.08806244,-0.344540053,0.456880366,0.62876084,-0.422803574,-1.040563203,-0.123636021,-1.853497639,-0.946259254,NA
142,0.8878869,0.266421183,0.76415188,2.124106203,-0.249521058,0.516415998,0.568144391,-0.751389517,-0.876963772,0.032256246,-1.698033243,-1.036252177,NA
143,0.626155182,-0.025346381,0.709301703,2.017276376,0.095226729,0.553570873,0.613210311,-0.934299699,-1.351791222,-0.552564482,-1.738268159,-1.059103405,NA
144,0.327849258,0.205040334,0.675769149,1.962910007,0.329825484,0.663428335,0.579470622,-0.986562027,-1.592604191,-0.633759898,-1.67070098,-0.889435776,NA
145,0.183513461,0.353228209,1.26192897,1.933116572,0.562106602,0.732903202,0.261964715,-1.403786379,-1.651848038,-1.039963176,-1.269705091,-0.901496428,NA
146,NA,0.804857345,NA,1.807363491,1.07084933,NA,NA,-1.372275994,-2.133815886,-1.763109021,NA,NA,NA
147,NA,0.698425957,NA,1.925546263,0.378354401,NA,NA,-0.891947156,-2.148706326,-1.672262524,NA,NA,NA
148,NA,0.463005878,NA,1.929781827,-0.57413621,NA,NA,-0.949005728,-1.866580344,-1.794733279,NA,NA,NA
149,-0.119678388,0.438199814,-0.696750399,1.886867917,-0.497010577,1.353384001,0.668884817,-0.85810695,-1.642357005,-1.216454559,-1.801108292,0.164166925,NA
150,-0.119678388,0.472555451,-0.863137432,1.943816239,-0.1476338,1.153738873,0.160295464,-1.137414544,-1.290015439,-0.831648293,-2.362220389,-0.64919387,NA
151,1.459446386,-0.11919856,0.456031693,1.926498544,-0.207538789,0.895191844,0.223334396,-1.331878639,-1.041337908,-0.145869714,-1.907170967,-0.679322027,NA
152,1.580305939,-0.007478694,0.808435361,1.963575641,-0.207769463,0.766450286,0.238196806,-1.334561706,-1.080549437,0.326703316,-1.722276808,-0.636232009,NA
153,1.469056388,0.099835128,1.047696561,2.066542872,-0.566745631,0.354807379,0.234842633,-1.293955435,-1.0063094,0.373075157,-1.789839775,-0.606095078,NA
154,0.957810546,0.142262741,1.1559403,2.033920936,-0.892382757,0.34149082,0.41144067,-1.190174991,-0.998605447,0.538590082,-1.480045924,-0.531358386,NA
155,0.485650418,0.394455848,1.047696561,2.003789733,-1.098305651,0.418608388,0.431119564,-1.136283679,-1.042430004,0.559925924,-1.561922534,-0.622993786,NA
156,0.185734729,0.240612506,0.648465345,1.93244866,-1.039666412,0.492957968,0.487822686,-1.195088667,-0.870018507,0.547607735,-1.594703063,-0.714970031,NA
157,0.295063708,0.207570126,0.434156255,1.882289616,-0.503165388,0.833845342,0.480587326,-1.351657099,-0.897314543,0.4045163,-1.491636003,-1.010685185,NA
158,0.457574941,0.275686037,0.296811707,1.903184995,-0.361499992,0.780247949,0.614670373,-1.480157896,-1.077398441,0.384246635,-1.540020007,-1.139927584,NA
159,0.457574941,0.423958455,0.29634902,1.944053749,-0.100025263,0.685646286,0.821648695,-1.547697308,-1.17388482,0.131540039,-1.6879892,-1.010033324,NA
160,0.381919444,0.448063321,-0.137344548,2.030425253,0.043470057,0.678035095,0.812361179,-1.591163847,-1.30344352,0.218439773,-1.875731763,-1.029276909,NA
161,0.295063708,0.494122422,-0.123592117,2.017674609,-0.065914331,0.698258192,0.749869354,-1.523859488,-1.327050296,0.262811811,-1.975465137,-1.014420812,NA
162,0.517934025,0.51120039,0.181589771,1.969903121,0.073582905,0.750423468,0.610463961,-1.501179442,-1.07133498,0.220464162,-1.930693738,-1.020423411,NA
163,0.626155182,-0.800624112,0.097734614,1.92518971,-0.345653708,0.913085654,0.16884703,-1.484359801,-0.865871959,0.29160588,-1.856100549,-1.191765781,NA
164,0.594703305,-1.384368683,0.688430269,1.913101232,-1.087967323,0.957822788,-0.231376262,-1.491539275,-0.864106686,0.192920156,-1.718636569,-1.233825686,NA
165,1.143166339,-2.215787047,0.800043271,2.019262125,-1.439890459,0.987695134,-0.660246483,-1.57023037,-1.077600123,0.265242029,-1.376476655,-1.256054986,NA
166,0.388660046,-2.574063412,0.547823726,2.099237036,-1.589172991,0.71689147,-0.815529823,-1.566786271,-1.199607876,0.23166522,-1.608987394,-1.214800391,NA
